"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"B2m",47966.8992345823,-2.03166802498586,0.0677117331340808,-30.0046672998726,8.52980523409502e-198,1.02272364756799e-194
"Zbp1",1496.70723899863,-3.73489044795788,0.148721419546894,-25.1133324260681,3.55667304536736e-139,2.13222549069773e-136
"Abca2",1946.06934665276,0.935777876361556,0.0444409381252119,21.0566634242736,1.98685027522091e-98,7.9407782666329e-96
"Nek6",996.466268678589,-1.31365362260579,0.0756824951002949,-17.3574301542903,1.73309073402962e-67,5.19493947525377e-65
"Lcn2",1871.18964768913,-6.80563278288788,0.41730303377957,-16.3086108462916,8.57200798039323e-60,2.0555675136983e-57
"Knstrn",168.473144557002,-3.64883985041575,0.241508434840456,-15.1085400094876,1.42256814464828e-51,2.84276534238881e-49
"Gpr176",483.669961542506,-2.25964500234758,0.164280209158536,-13.7548218006404,4.76453221826797e-43,8.16096304243328e-41
"Tpx2",303.274089127007,-4.02607326117435,0.300929353129845,-13.3787987755291,8.0436823175198e-41,1.20554688733828e-38
"Ckap2l",160.841716998085,-4.16070944478085,0.33174229792396,-12.5419925973219,4.39796179550014e-36,5.85906243644964e-34
"Gsn",876379.922304998,1.39905530230324,0.113562538744173,12.3196902585539,7.09663337402258e-35,8.50886341545308e-33
"Rtn4rl2",426.277047476795,-1.76468081999521,0.153093903792778,-11.5267869998522,9.66850713639674e-31,1.05386727786724e-28
"Psmc3",3005.55370479562,-0.499139054550366,0.0444353030007314,-11.2329391462043,2.80973707494774e-29,2.80739562738529e-27
"Ogfr",1332.64172058894,-1.00876324227553,0.0900812898172394,-11.1983658795534,4.15323720447553e-29,3.83056262166627e-27
"Edn3",289.991946789657,1.95667142162734,0.179310902670456,10.9121720569517,1.00818247124087e-27,8.63436273584143e-26
"Map1lc3a",2144.88108775808,0.656523769496665,0.0612268132853865,10.7228146341133,7.95451617668613e-27,6.35830993056444e-25
"Bub1b",275.591188956146,-2.83696984242927,0.26673094952812,-10.6360729695906,2.02484520802594e-26,1.51736837776444e-24
"B4galt5",2397.63099289462,-1.14111754842489,0.107651571809093,-10.6001011341341,2.97658162290126e-26,2.0993655093286e-24
"Eif6",1331.72844832086,-0.661813740658096,0.062710774892739,-10.5534294830524,4.89761190935657e-26,3.26235371073252e-24
"Ube2l6",1701.15449423398,-0.753979667033684,0.0722972045138495,-10.4288910214952,1.83011717841902e-25,1.15490026153916e-23
"Nnat",206.095759491823,-2.56470791243624,0.24716723879216,-10.3764071847437,3.17499790941127e-25,1.90341124669206e-23
